symbol,quoted_spread_bp
SPY,0.196
QQQ,0.218
LMT,0.229
MCO,0.236
SPGI,0.237
DE,0.261
CI,0.287
TT,0.297
UNP,0.408
AXP,0.413
ECL,0.416
MMC,0.466
IWM,0.473
DIA,0.495
IBM,0.523
GE,0.53
TMUS,0.551
ACN,0.558
CAT,0.577
ABBV,0.584
NUE,0.598
MPC,0.614
TGT,0.625
PG,0.628
ZTS,0.641
TRV,0.666
ROST,0.677
ICE,0.682
JNJ,0.691
UPS,0.693
COF,0.703
SYK,0.706
EA,0.721
MMM,0.775
IDXX,0.778
APD,0.781
PLD,0.783
KMB,0.803
EOG,0.814
EL,0.835
PSX,0.838
ABT,0.874
XOM,0.898
PCAR,0.929
WELL,0.938
PM,0.942
COP,0.952
GOOGL,0.957
DIS,0.967
VLO,0.981
RTX,0.996
ETN,1.007
MAR,1.009
MU,1.018
SBUX,1.067
AMZN,1.092
ALL,1.099
CL,1.1
MRK,1.115
AVGO,1.147
MDT,1.154
CVX,1.195
OKE,1.198
ODFL,1.202
PNC,1.213
SO,1.215
APH,1.225
NEE,1.246
GILD,1.275
ORCL,1.278
MET,1.297
EW,1.299
ADP,1.317
FIS,1.32
MCD,1.329
CCI,1.367
MSI,1.371
CME,1.373
MDLZ,1.386
FTNT,1.394
DUK,1.395
PGR,1.417
WMT,1.443
BA,1.445
GD,1.468
UNH,1.47
AMD,1.48
KO,1.493
XEL,1.5
SCHW,1.517
ITW,1.524
MS,1.525
GIS,1.58
DHR,1.582
CVS,1.591
NKE,1.633
C,1.666
ADBE,1.692
PYPL,1.723
CRM,1.738
WFC,1.755
OXY,1.768
QCOM,1.769
MNST,1.785
PEP,1.818
EMR,1.824
BMY,1.88
PAYX,1.906
SRE,1.911
D,1.911
MSFT,1.921
BSX,1.949
BLK,1.983
JPM,1.999
NEM,2.072
NFLX,2.126
GM,2.127
YUM,2.155
MO,2.195
TSLA,2.217
LRCX,2.226
JCI,2.226
KLAC,2.273
WM,2.275
USB,2.281
V,2.36
CMCSA,2.366
VZ,2.38
SLB,2.393
CHTR,2.408
LOW,2.42
WMB,2.446
EXC,2.467
HCA,2.491
DOW,2.492
PSA,2.517
BK,2.534
LHX,2.548
HUM,2.556
TFC,2.604
HD,2.605
TXN,2.666
BAC,2.669
AIG,2.676
CB,2.709
BDX,2.733
CSX,2.801
EQIX,2.871
HON,2.903
CSCO,2.983
TMO,2.996
AMAT,3.021
KDP,3.025
STZ,3.039
TJX,3.066
PANW,3.245
KHC,3.256
LIN,3.283
LLY,3.301
INTC,3.302
FDX,3.348
MRNA,3.39
AAPL,3.413
NSC,3.414
NOC,3.452
SHW,3.46
ISRG,3.485
NVDA,3.542
CTAS,3.614
KMI,3.648
DLR,3.675
PFE,3.766
GS,3.872
VRTX,3.928
ADI,3.966
MCK,3.979
PH,4.084
META,4.091
AMGN,4.22
ILMN,4.267
CMG,4.369
CRWD,4.539
NOW,4.769
COST,4.95
MA,4.985
T,5.208
AON,5.266
BKNG,5.268
INTU,5.448
ROP,6.279
NXPI,6.733
CDNS,6.824
ORLY,7.337
SNPS,8.068
WBA,8.832
F,8.885
AZO,11.659
REGN,12.142
